id,localizacion,latitud,longitud,magnitud,time,profundidad,mes,ano,estado,estatus,hora,minuto
237,135 km al SURESTE de CD HIDALGO,13.52,-91.75,5.6,0.181284722,78,9,1977,CHIS,revisado,4,21
238,268 km al SURESTE de CD HIDALGO,13.56,-89.95,5,0.988993056,108,9,1977,CHIS,revisado,23,44
239,326 km al SUR de CABO SAN LUCAS,20.03,-109.15,5.7,0.302743056,33,9,1977,BCS,revisado,7,15
240,191 km al SURESTE de CD HIDALGO,13.86,-90.59,5,0.284571759,104,11,1977,CHIS,revisado,6,49
241,17 km al NORTE de MEXICALI,32.82,-115.47,5,0.837349537,5,11,1977,BC,revisado,20,5
242,153 km al NOROESTE de M ALEMAN(LA DOCE),29.27,-112.97,5.2,0.868090278,33,11,1977,SON,revisado,20,50
243,192 km al SURESTE de CD HIDALGO,13.68,-90.69,5.1,0.571331019,74,2,1978,CHIS,revisado,13,42
244,24 km al NORESTE de ACAPULCO,17.036,-99.745,6.6,0.818935185,44,3,1978,GRO,revisado,19,39
245,22 km al SUROESTE de GPE VICTORIA(KM.43),32.22,-115.32,5.5,0.627256944,5,5,1978,BC,revisado,15,3
246,103 km al SUROESTE de GUASAVE,24.81,-109.06,5,0.219224537,10,5,1978,SIN,revisado,5,15
247,567 km al SURESTE de CD HIDALGO,12.759,-87.287,6.5,0.796770833,49,5,1978,CHIS,revisado,19,7
248,116 km al SUROESTE de MAPASTEPEC,14.5,-93.36,5,0.877581019,33,7,1978,CHIS,revisado,21,3
249,153 km al ESTE de CD HIDALGO,14.6,-90.73,5,0.359351852,33,7,1978,CHIS,revisado,8,37
250,5 km al OESTE de HUIXTLA,15.13,-92.51,5.5,0.399664352,33,8,1978,CHIS,revisado,9,35
251,941 km al SUROESTE de CABO SAN LUCAS,14.93,-113.07,5.2,0.798935185,33,8,1978,BCS,revisado,19,10
252,124 km al SUROESTE de CD HIDALGO,13.93,-93.01,5,0.792361111,220,9,1978,CHIS,revisado,19,1
253,283 km al SURESTE de CD HIDALGO,13.76,-89.7,5.1,0.595011574,116,10,1978,CHIS,revisado,14,16
254,385 km al SUROESTE de LA MIRA,15.5,-104.81,5.2,0.338148148,33,10,1978,MICH,revisado,8,6
255,379 km al SUROESTE de LA MIRA,15.31,-104.49,5.2,0.345300926,33,10,1978,MICH,revisado,8,17
256,421 km al SUROESTE de PUERTO VALLARTA,18.53,-108.59,5,0.232592593,33,10,1978,JAL,revisado,5,34
257,153 km al SURESTE de CD HIDALGO,13.77,-91.08,5,0.021215278,60,10,1978,CHIS,revisado,0,30
258,61 km al OESTE de H GUAYMAS,27.99,-111.51,5.1,0.07224537,15,11,1978,SON,revisado,1,44
259,126 km al SURESTE de SAN FELIPE,30.18,-113.96,5.4,0.359490741,15,11,1978,BC,revisado,8,37
260,32 km al NOROESTE de S PEDRO POCHUTLA,16.013,-96.586,7.6,0.578356481,23,11,1978,OAX,revisado,13,52
261,29 km al SURESTE de PUERTO ESCONDIDO,15.74,-96.83,5.3,0.586631944,33,11,1978,OAX,revisado,14,4
262,16 km al SUR de MIAHUATLAN,16.19,-96.63,5.7,0.617916667,22,11,1978,OAX,revisado,14,49
263,17 km al NORESTE de S PEDRO POCHUTLA,15.86,-96.36,5,0.712800926,33,11,1978,OAX,revisado,17,6
264,12 km al SUROESTE de PUERTO ESCONDIDO,15.77,-97.12,5.1,0.182407407,19,11,1978,OAX,revisado,4,22
265,128 km al SUROESTE de CD HIDALGO,13.56,-92.46,5.7,0.352002315,33,12,1978,CHIS,revisado,8,26
266,45 km al ESTE de LAS GUACAMAYAS,18.03,-101.79,5.1,0.316666667,106,12,1978,MICH,revisado,7,36
267,199 km al SUROESTE de TECPAN,15.49,-101.15,5.3,0.838645833,33,12,1978,GRO,revisado,20,7
268,376 km al SUR de CABO SAN LUCAS,19.61,-108.98,5.2,0.082858796,33,12,1978,BCS,revisado,1,59
269,84 km al SUROESTE de S PEDRO POCHUTLA,15.04,-96.76,5.4,0.57494213,33,12,1978,OAX,revisado,13,47
270,102 km al SUROESTE de CD HIDALGO,14.37,-93.04,5,0.347222222,96,1,1979,CHIS,revisado,8,20
271,75 km al OESTE de LA MIRA,18.08,-103.04,5.3,0.244108796,36,1,1979,MICH,revisado,5,51
272,57 km al SUROESTE de S PEDRO POCHUTLA,15.34,-96.8,5.2,0.937025463,38,1,1979,OAX,revisado,22,29
273,30 km al NOROESTE de ARRIAGA ,16.49,-93.99,5.7,0.308506944,116,1,1979,CHIS,revisado,7,24
274,65 km al SUROESTE de ARRIAGA ,15.88,-94.38,5,0.644652778,108,1,1979,CHIS,revisado,15,28
275,68 km al SURESTE de CD HIDALGO,14.11,-91.9,5.5,0.915972222,75,1,1979,CHIS,revisado,21,59
276,34 km al NOROESTE de TECPAN,17.397,-100.895,6.6,0.169803241,23,1,1979,GRO,revisado,4,4
277,47 km al SUROESTE de PETATLAN,17.14,-101.43,5,0.253113426,38,1,1979,GRO,revisado,6,4
278,85 km al SUROESTE de ZIHUATANEJO,17,-101.99,6,0.465636574,33,1,1979,GRO,revisado,11,10
279,38 km al SUR de PETATLAN,17.2,-101.23,5.5,0.595520833,13,1,1979,GRO,revisado,14,17
280,32 km al SUR de OMETEPEC,16.4,-98.48,5.2,0.849166667,38,1,1979,GRO,revisado,20,22
281,34 km al SUR de PETATLAN,17.24,-101.2,5.3,0.515104167,18,1,1979,GRO,revisado,12,21
282,37 km al SUR de PETATLAN,17.21,-101.22,5.2,0.520486111,33,1,1979,GRO,revisado,12,29
283,31 km al NOROESTE de SANTA ROSALIA,27.59,-112.41,5.5,0.703715278,33,2,1979,BCS,revisado,16,53
284,25 km al SURESTE de PETATLAN,17.39,-101.1,5,0.590474537,73,2,1979,GRO,revisado,14,10
285,473 km al SUR de CABO SAN LUCAS,18.62,-109.73,5,0.545960648,33,3,1979,BCS,revisado,13,6
286,24 km al NORTE de PETATLAN,17.75,-101.263,7.4,0.213368056,25,3,1979,GRO,revisado,5,7
287,17 km al SUROESTE de PETATLAN,17.41,-101.36,5.2,0.399780093,26,3,1979,GRO,revisado,9,35
288,45 km al NOROESTE de TECPAN,17.58,-100.83,6,0.592071759,36,3,1979,GRO,revisado,14,12
289,65 km al SUROESTE de ZIHUATANEJO,17.13,-101.84,5.1,0.769282407,26,3,1979,GRO,revisado,18,27
290,65 km al SUR de CD LAZARO CARDENAS,17.37,-102.14,5.5,0.266041667,33,3,1979,MICH,revisado,6,23
291,75 km al NORESTE de LORETO,26.55,-110.89,5.1,0.473587963,33,3,1979,BCS,revisado,11,21
292,73 km al SUROESTE de PUEBLO YAQUI,27.15,-110.74,5.2,0.50837963,33,3,1979,SON,revisado,12,12
293,63 km al OESTE de CD HIDALGO,14.56,-92.72,5.9,0.769791667,96,3,1979,CHIS,revisado,18,28
294,30 km al SUROESTE de S PEDRO POCHUTLA,15.66,-96.73,5,0.906944444,11,4,1979,OAX,revisado,21,46
295,87 km al SUROESTE de ZIHUATANEJO,17.04,-102.08,5.6,0.000601852,36,4,1979,GRO,revisado,0,0
296,69 km al SUR de TONALA,15.48,-93.9,5.6,0.018553241,33,6,1979,CHIS,revisado,0,26
297,49 km al NORESTE de MATIAS ROMERO,17.014,-94.605,6.9,0.021493056,115,6,1979,OAX,revisado,0,30
298,25 km al NORTE de LA MIRA,18.26,-102.34,5.3,0.625810185,33,8,1979,MICH,revisado,15,1
299,26 km al NORTE de MAPASTEPEC,15.67,-92.93,6,0.343240741,100,10,1979,CHIS,revisado,8,14
300,132 km al SUROESTE de NAVOLATO,24.28,-108.89,5,0.000266204,15,10,1979,SIN,revisado,0,0
301,220 km al ESTE de CD HIDALGO,14.48,-90.12,5,0.076041667,33,10,1979,CHIS,revisado,1,49
302,65 km al SUR de CD HIDALGO,14.1,-92.27,5,0.90681713,33,10,1979,CHIS,revisado,21,45
303,19 km al NOROESTE de SANTA ISABEL,32.784,-115.657,6.5,0.720138889,14,10,1979,BC,revisado,17,17
304,28 km al NORTE de MEXICALI,32.91,-115.53,5.1,0.79181713,5,10,1979,BC,revisado,19,0
305,30 km al NORTE de MEXICALI,32.93,-115.54,5.5,0.01375,9,10,1979,BC,revisado,0,19
306,12 km al ESTE de MEXICALI,32.65,-115.34,5.2,0.719884259,22,10,1979,BC,revisado,17,16
307,53 km al SUROESTE de SALINA CRUZ,15.83,-95.53,5.3,0.418090278,33,10,1979,OAX,revisado,10,2
308,163 km al SUR de SAN MARCOS,15.36,-99.75,5.7,0.987650463,33,10,1979,GRO,revisado,23,42
309,167 km al SURESTE de CD HIDALGO,13.855,-90.857,6.8,0.358333333,64,10,1979,CHIS,revisado,8,36
310,180 km al SURESTE de CD HIDALGO,13.782,-90.754,6.8,0.655162037,65,10,1979,CHIS,revisado,15,43
311,134 km al SURESTE de CD HIDALGO,13.68,-91.44,5,0.416712963,63,11,1979,CHIS,revisado,10,0
312,30 km al NORTE de PINOTEPA NACIONAL,16.61,-98.09,5.2,0.451782407,33,11,1979,OAX,revisado,10,50
313,131 km al SURESTE de CD HIDALGO,13.58,-91.69,6.3,0.677013889,33,11,1979,CHIS,revisado,16,14
314,64 km al SUR de RIO GRANDE,15.45,-97.57,5,0.507743056,33,12,1979,OAX,revisado,12,11
315,61 km al SUROESTE de PETATLAN,17.07,-101.58,5,0.282430556,40,1,1980,GRO,revisado,6,46
316,219 km al SUROESTE de MANZANILLO,17.24,-105.15,5,0.53712963,10,1,1980,COL,revisado,12,53
317,38 km al SUROESTE de PIJIJIAPAN,15.53,-93.53,5.2,0.533402778,90,1,1980,CHIS,revisado,12,48
318,447 km al SURESTE de CD HIDALGO,13.03,-88.37,5.2,0.0178125,73,3,1980,CHIS,revisado,0,25
319,176 km al SURESTE de CD HIDALGO,13.58,-90.97,5.3,0.04818287,33,5,1980,CHIS,revisado,1,9
320,95 km al SUROESTE de ZIHUATANEJO,17.03,-102.17,5,0.857256944,33,5,1980,GRO,revisado,20,34
321,28 km al SUROESTE de PINOTEPA NACIONAL,16.24,-98.29,5.5,0.910833333,33,6,1980,OAX,revisado,21,51
322,13 km al SURESTE de GPE VICTORIA(KM.43),32.22,-114.99,6.4,0.894652778,5,6,1980,BC,revisado,21,28
323,154 km al SURESTE de CD HIDALGO,13.62,-91.22,5,0.860011574,33,6,1980,CHIS,revisado,20,38
324,74 km al OESTE de AHOME,26.09,-109.89,5,0.794861111,15,6,1980,SIN,revisado,19,4
325,5 km al NORESTE de LAS MARGARITAS,16.35,-91.95,5.5,0.766712963,64,7,1980,CHIS,revisado,18,24
326,30 km al SUR de RIO GRANDE,15.75,-97.37,5.4,0.956550926,12,7,1980,OAX,revisado,22,57
327,25 km al SURESTE de CRUCECITA,15.67,-95.92,5.1,0.765810185,16,8,1980,OAX,revisado,18,22
328,459 km al SUROESTE de LA MIRA,14.88,-105.12,5,0.601516204,10,8,1980,MICH,revisado,14,26
329,291 km al SUR de CHETUMAL,15.879,-88.505,6.5,0.989710648,24,8,1980,QR,revisado,23,45
330,115 km al SUROESTE de H CABORCA,30.21,-113.21,5,0.123553241,15,8,1980,SON,revisado,2,57
331,177 km al SUROESTE de H CABORCA,29.6,-113.48,5.2,0.928726852,15,8,1980,SON,revisado,22,17
332,393 km al ESTE de CD HIDALGO,14.7,-88.5,5.3,0.186168981,33,9,1980,CHIS,revisado,4,28
333,142 km al SURESTE de CD HIDALGO,13.62,-91.41,5,0.435138889,60,9,1980,CHIS,revisado,10,26
334,82 km al SUROESTE de MAPASTEPEC,14.99,-93.5,5.1,0.700636574,33,9,1980,CHIS,revisado,16,48
335,178 km al SUROESTE de H CABORCA,29.69,-113.58,5.2,0.841354167,15,9,1980,SON,revisado,20,11
336,19 km al OESTE de ACATLAN DE OSORIO,18.174,-98.222,7.1,0.370555556,65,10,1980,PUE,revisado,8,53
337,277 km al SUROESTE de PUERTO VALLARTA,19.09,-107.33,6.1,0.703032407,33,11,1980,JAL,revisado,16,52
338,115 km al SUR de SALINA CRUZ,15.14,-95.13,5,0.617291667,33,11,1980,OAX,revisado,14,48
339,136 km al SURESTE de CD HIDALGO,13.76,-91.31,5.4,0.431446759,83,11,1980,CHIS,revisado,10,21
340,34 km al NORESTE de OMETEPEC,16.86,-98.14,5.2,0.673819444,33,12,1980,GRO,revisado,16,10
341,38 km al ESTE de UNION HIDALGO,16.52,-94.48,5.2,0.895532407,134,12,1980,OAX,revisado,21,29
342,111 km al SURESTE de SAN MARCOS,15.83,-99.09,5.5,0.479039352,33,1,1981,GRO,revisado,11,29
343,43 km al SUROESTE de PIJIJIAPAN,15.35,-93.41,5.6,0.802048611,33,1,1981,CHIS,revisado,19,14
344,136 km al SURESTE de CRUCECITA,14.7,-95.5,5,0.804212963,10,2,1981,OAX,revisado,19,18
345,371 km al SURESTE de CD HIDALGO,13.16,-89.09,5,0.310671296,90,3,1981,CHIS,revisado,7,27
346,26 km al SUROESTE de S PEDRO POCHUTLA,15.66,-96.69,5,0.66380787,20,3,1981,OAX,revisado,15,55
347,61 km al SUROESTE de PINOTEPA NACIONAL,15.97,-98.48,5.4,0.984247685,33,3,1981,OAX,revisado,23,37
348,266 km al OESTE de CIHUATLAN,18.73,-107.03,6,0.383865741,33,6,1981,JAL,revisado,9,12
349,113 km al SUROESTE de PINOTEPA NACIONAL,15.65,-98.83,5,0.909675926,15,6,1981,OAX,revisado,21,49
350,51 km al NORTE de STA MARIA ATZOMPA,17.56,-96.82,5,0.97974537,85,7,1981,OAX,revisado,23,30
351,81 km al SUROESTE de PINOTEPA NACIONAL,15.91,-98.66,5.1,0.134907407,33,7,1981,OAX,revisado,3,14
352,184 km al SUROESTE de PINOTEPA NACIONAL,15.1,-99.2,5.7,0.135416667,40,7,1981,OAX,revisado,3,15
353,138 km al SUROESTE de PINOTEPA NACIONAL,15.43,-98.93,5.3,0.182418981,33,7,1981,OAX,revisado,4,22
354,28 km al SURESTE de CD LAZARO CARDENAS,17.79,-102.01,6.5,0.968298611,21,7,1981,MICH,revisado,23,14
355,96 km al SUROESTE de ACAPULCO,16.24,-100.51,5,0.222083333,33,8,1981,GRO,revisado,5,19
356,14 km al SUROESTE de SAN MARCOS,16.7,-99.48,5.4,0.160069444,8,9,1981,GRO,revisado,3,50
357,44 km al NORESTE de CD HIDALGO,14.83,-91.77,5,0.314305556,150,9,1981,CHIS,revisado,7,32
358,61 km al NORESTE de LAS GUACAMAYAS,18.21,-101.67,5.2,0.709259259,33,10,1981,MICH,revisado,17,1
359,133 km al NORESTE de SAN JOSE DEL CABO,23.92,-108.8,5.1,0.923344907,9,10,1981,BCS,revisado,22,9
360,213 km al SUROESTE de ZIHUATANEJO,16,-102.6,5.1,0.753263889,5,10,1981,GRO,revisado,18,4
361,18 km al NORESTE de LAS GUACAMAYAS,18.088,-102.061,7.3,0.890462963,21,10,1981,MICH,revisado,21,22
362,43 km al NORESTE de ZIHUATANEJO,17.96,-101.31,5.5,0.72130787,33,11,1981,GRO,revisado,17,18
363,179 km al ESTE de CACAHOATAN,15.06,-90.5,5.2,0.668645833,200,11,1981,CHIS,revisado,16,2
364,145 km al SUR de TECPAN,15.93,-100.88,6.1,0.89630787,25,1,1982,GRO,revisado,21,30
365,63 km al SUROESTE de ACAPULCO,16.44,-100.29,6,0.045717593,33,1,1982,GRO,revisado,1,5
366,520 km al SURESTE de CD HIDALGO,13.18,-87.59,6,0.991863426,4,1,1982,CHIS,revisado,23,48
367,40 km al SUROESTE de AHOME,25.8,-109.55,5.3,0.144826389,9,2,1982,SIN,revisado,3,28
368,153 km al OESTE de M ALEMAN(LA DOCE),29.03,-113.03,5.6,0.554363426,9,2,1982,SON,revisado,13,18
369,106 km al SUROESTE de GUASAVE,24.75,-109.01,5.1,0.660347222,9,2,1982,SIN,revisado,15,50
370,28 km al SUROESTE de VENUSTIANO CARRANZA,16.25,-92.81,5.1,0.541712963,233,3,1982,CHIS,revisado,13,0
371,384 km al SURESTE de CD HIDALGO,13.24,-88.91,6,0.236828704,76,3,1982,CHIS,revisado,5,41
372,85 km al SUR de TONALA,15.34,-93.95,5,0.028506944,25,3,1982,CHIS,revisado,0,41
373,45 km al SUR de CD HIDALGO,14.276,-92.074,6.7,0.581168981,45,4,1982,CHIS,revisado,13,56
374,42 km al SURESTE de CD HIDALGO,14.37,-91.92,5.2,0.195972222,90,4,1982,CHIS,revisado,4,42
375,446 km al SUR de CHETUMAL,14.53,-87.59,5,0.885648148,334,4,1982,QR,revisado,21,15
376,443 km al SURESTE de CD HIDALGO,13.1,-88.38,5,0.798287037,75,5,1982,CHIS,revisado,19,9
377,22 km al NOROESTE de MATIAS ROMERO,17.01,-95.19,5.3,0.848715278,90,5,1982,OAX,revisado,20,22
378,23 km al NOROESTE de PINOTEPA NACIONAL,16.424,-98.253,6.9,0.036493056,6,6,1982,OAX,revisado,0,52
379,20 km al SURESTE de OMETEPEC,16.516,-98.339,7,0.208101852,19,6,1982,GRO,revisado,4,59
380,41 km al SUR de OMETEPEC,16.32,-98.49,5,0.475173611,33,6,1982,GRO,revisado,11,24
381,335 km al SURESTE de CD HIDALGO,13.346,-89.368,7.3,0.015266204,74,6,1982,CHIS,revisado,0,21
382,23 km al SURESTE de SALINA CRUZ,16,-95.1,5.9,0.016898148,5,6,1982,OAX,revisado,0,24
383,11 km al NOROESTE de SANTA ROSALIA,27.42,-112.33,5,0.501643519,9,7,1982,BCS,revisado,12,2
384,65 km al NORTE de SANTA ROSALIA,27.91,-112.11,5,0.594143519,9,7,1982,BCS,revisado,14,15
385,366 km al SURESTE de CD HIDALGO,13.39,-89.03,5.1,0.190960648,67,7,1982,CHIS,revisado,4,34
386,71 km al SUROESTE de PINOTEPA NACIONAL,15.9,-98.53,5,0.357094907,15,8,1982,OAX,revisado,8,34
387,143 km al SURESTE de CD HIDALGO,13.72,-91.26,5,0.022800926,100,8,1982,CHIS,revisado,0,32
388,186 km al SUROESTE de CIHUATLAN,18.01,-105.77,5.2,0.915474537,33,8,1982,JAL,revisado,21,58
389,136 km al SURESTE de CD HIDALGO,13.87,-91.2,5.2,0.644525463,100,8,1982,CHIS,revisado,15,28
390,52 km al ESTE de SAN MARCOS,16.69,-98.92,5,0.393611111,33,8,1982,GRO,revisado,9,26
391,146 km al SURESTE de CD HIDALGO,13.42,-91.74,5.3,0.858622685,33,9,1982,CHIS,revisado,20,36
392,146 km al SUR de SAN MARCOS,15.48,-99.47,5.2,0.851550926,25,9,1982,GRO,revisado,20,26
393,26 km al SURESTE de SAN MARCOS,16.73,-99.16,5,0.979479167,33,9,1982,GRO,revisado,23,30
394,328 km al ESTE de CD HIDALGO,14.62,-89.1,5.1,0.908333333,15,9,1982,CHIS,revisado,21,48
395,334 km al ESTE de CD HIDALGO,14.51,-89.05,5.5,0.993425926,12,9,1982,CHIS,revisado,23,50
396,164 km al SURESTE de SAN JOSE DEL CABO,22.19,-108.42,5.3,0.254016204,9,9,1982,BCS,revisado,6,5
397,40 km al SUR de PETATLAN,17.19,-101.37,5,0.57693287,9,10,1982,GRO,revisado,13,50
398,230 km al SURESTE de CD HIDALGO,13.53,-90.37,5.3,0.289479167,85,10,1982,CHIS,revisado,6,56
399,46 km al SURESTE de CRUCECITA,15.46,-95.85,5.2,0.314733796,4,10,1982,OAX,revisado,7,33
400,271 km al SUROESTE de CIHUATLAN,17.31,-106.14,5.1,0.372523148,33,10,1982,JAL,revisado,8,56
401,226 km al OESTE de CIHUATLAN,18.74,-106.65,5.2,0.413310185,33,10,1982,JAL,revisado,9,55
402,332 km al SURESTE de CD HIDALGO,13.49,-89.33,5.1,0.070173611,72,10,1982,CHIS,revisado,1,41
403,95 km al SURESTE de CD HIDALGO,13.85,-91.92,5,0.281458333,33,10,1982,CHIS,revisado,6,45
404,43 km al NORTE de MATIAS ROMERO,17.25,-95.12,5,0.78287037,158,10,1982,OAX,revisado,18,47
405,168 km al SURESTE de CD HIDALGO,14.01,-90.75,5.3,0.002175926,80,10,1982,CHIS,revisado,0,3
406,49 km al SUROESTE de OMETEPEC,16.34,-98.7,5.1,0.616458333,16,11,1982,GRO,revisado,14,47
407,93 km al SUROESTE de MAZATLAN,22.93,-107.26,5.1,0.293530093,33,12,1982,SIN,revisado,7,2
408,27 km al SUROESTE de OMETEPEC,16.46,-98.51,5.7,0.3415625,16,12,1982,GRO,revisado,8,11
409,194 km al SURESTE de SALINA CRUZ,14.52,-94.63,5,0.909525463,33,12,1982,OAX,revisado,21,49
410,84 km al SURESTE de CD HIDALGO,14.09,-91.66,5,0.494652778,33,1,1983,CHIS,revisado,11,52
411,2 km al SUROESTE de SALINA CRUZ,16.165,-95.206,6.8,0.095601852,50,1,1983,OAX,revisado,2,17
412,120 km al SURESTE de CRUCECITA,14.93,-95.43,5.3,0.147777778,33,1,1983,OAX,revisado,3,32
413,33 km al SUROESTE de SALINA CRUZ,15.94,-95.38,5.2,0.26880787,15,1,1983,OAX,revisado,6,27
414,90 km al SURESTE de CRUCECITA,15.32,-95.43,5.5,0.294525463,33,1,1983,OAX,revisado,7,4
415,37 km al SUROESTE de SALINA CRUZ,15.9,-95.38,5,0.704768519,33,1,1983,OAX,revisado,16,54
416,67 km al SUROESTE de SALINA CRUZ,15.65,-95.5,5.5,0.73681713,15,2,1983,OAX,revisado,17,41
417,29 km al SUROESTE de OMETEPEC,16.45,-98.53,5.5,0.246342593,33,2,1983,GRO,revisado,5,54
418,12 km al SUROESTE de OMETEPEC,16.63,-98.5,5.4,0.244560185,33,2,1983,GRO,revisado,5,52
419,42 km al SUROESTE de SALINA CRUZ,15.86,-95.4,5.4,0.150381944,33,2,1983,OAX,revisado,3,36
420,87 km al SURESTE de CD HIDALGO,14.01,-91.72,5.9,0.055185185,33,4,1983,CHIS,revisado,1,19
421,89 km al SUROESTE de S PEDRO POCHUTLA,15.04,-96.86,5.7,0.313356481,15,4,1983,OAX,revisado,7,31
422,43 km al SUROESTE de SALINA CRUZ,15.87,-95.44,5.5,0.041689815,25,5,1983,OAX,revisado,1,0
423,329 km al SUR de CABO SAN LUCAS,19.95,-109.47,5.3,0.360844907,9,5,1983,BCS,revisado,8,39
424,325 km al SUR de CABO SAN LUCAS,20,-109.34,5.8,0.378564815,9,5,1983,BCS,revisado,9,5
425,322 km al SUR de CABO SAN LUCAS,20.03,-109.36,5.3,0.434131944,9,5,1983,BCS,revisado,10,25
426,326 km al SUR de CABO SAN LUCAS,19.98,-109.44,5.1,0.783993056,9,5,1983,BCS,revisado,18,48
427,326 km al SUR de CABO SAN LUCAS,19.98,-109.45,6.2,0.589756944,9,5,1983,BCS,revisado,14,9
428,66 km al SUROESTE de TONALA,15.52,-93.94,5.5,0.994930556,33,5,1983,CHIS,revisado,23,52
429,111 km al SUROESTE de COYUCA DE BENITEZ,16.14,-100.61,5.5,0.018414352,33,5,1983,GRO,revisado,0,26
430,112 km al SUROESTE de ELDORADO,23.89,-108.36,5.5,0.902395833,9,7,1983,SIN,revisado,21,39
431,49 km al SURESTE de CD HIDALGO,14.5,-91.74,5.1,0.328310185,100,8,1983,CHIS,revisado,7,52
432,33 km al SUROESTE de ARRIAGA ,16,-94.09,5.6,0.851956019,61,8,1983,CHIS,revisado,20,26
433,127 km al ESTE de LA PAZ,24.43,-109.1,5,0.191030093,9,8,1983,BCS,revisado,4,35
434,47 km al SUR de CD ALTAMIRANO,17.94,-100.6,5.3,0.846886574,92,9,1983,GRO,revisado,20,19
435,35 km al SUROESTE de VILLAFLORES,15.97,-93.44,5.7,0.193773148,122,9,1983,CHIS,revisado,4,39
436,29 km al NOROESTE de ARRIAGA ,16.49,-93.97,5.2,0.199247685,144,9,1983,CHIS,revisado,4,46
437,232 km al SURESTE de CD HIDALGO,13.19,-90.64,5.1,0.299965278,33,10,1983,CHIS,revisado,7,11
438,10 km al SUROESTE de TAPACHULA,14.82,-92.29,5.1,0.23787037,80,10,1983,CHIS,revisado,5,42
439,226 km al SURESTE de CD HIDALGO,13.14,-90.78,5,0.717175926,33,10,1983,CHIS,revisado,17,12
440,125 km al SUROESTE de NAVOLATO,24.25,-108.8,5.3,0.141284722,33,11,1983,SIN,revisado,3,23
441,140 km al SURESTE de CD HIDALGO,14,-91.06,5.2,0.909710648,85,11,1983,CHIS,revisado,21,49
442,75 km al SURESTE de CD HIDALGO,14.032,-91.956,7,0.881296296,35,12,1983,CHIS,revisado,21,9
443,84 km al SUR de CD HIDALGO,13.92,-92.08,5.1,0.246782407,80,12,1983,CHIS,revisado,5,55
444,31 km al NOROESTE de LA MIRA,18.3,-102.42,5.5,0.181921296,67,12,1983,MICH,revisado,4,21
445,89 km al SURESTE de CD HIDALGO,13.94,-91.82,5.3,0.598981481,70,12,1983,CHIS,revisado,14,22
446,94 km al SURESTE de CD HIDALGO,13.97,-91.67,5.1,0.013530093,70,12,1983,CHIS,revisado,0,19
447,21 km al SUROESTE de CD HIDALGO,14.55,-92.3,5,0.105648148,33,12,1983,CHIS,revisado,2,32
448,88 km al SUROESTE de MAPASTEPEC,14.82,-93.41,5.5,0.025763889,15,12,1983,CHIS,revisado,0,37
449,81 km al SUROESTE de ZIHUATANEJO,17.17,-102.13,5.2,0.209756944,33,12,1983,GRO,revisado,5,2
450,82 km al SUROESTE de M ALEMAN(LA DOCE),28.33,-112.08,6.2,0.452326389,9,2,1984,SON,revisado,10,51
451,274 km al SUR de CABO SAN LUCAS,20.5,-109.23,5.5,0.606724537,9,2,1984,BCS,revisado,14,33
452,129 km al SUROESTE de CD HIDALGO,13.86,-93.01,5,0.860578704,33,2,1984,CHIS,revisado,20,39
453,273 km al SUROESTE de CIHUATLAN,18.54,-107.05,5,0.724525463,33,2,1984,JAL,revisado,17,23
454,86 km al SURESTE de SALINA CRUZ,15.54,-94.74,5,0.414282407,33,5,1984,OAX,revisado,9,56
455,29 km al OESTE de ACATLAN DE OSORIO,18.18,-98.32,5.4,0.940300926,85,6,1984,PUE,revisado,22,34
456,138 km al SURESTE de SAN FELIPE,30.04,-113.96,5.1,0.592175926,9,6,1984,BC,revisado,14,12
457,112 km al SURESTE de SAN MARCOS,15.84,-99.03,6,0.951759259,33,7,1984,GRO,revisado,22,50
458,38 km al SUROESTE de CHILPANCINGO,17.26,-99.69,5.2,0.627604167,15,7,1984,GRO,revisado,15,3
459,262 km al SURESTE de CD HIDALGO,13.33,-90.16,5,0.647893519,65,7,1984,CHIS,revisado,15,32
460,207 km al SUROESTE de CIHUATLAN,18.6,-106.41,5.1,0.331111111,9,8,1984,JAL,revisado,7,56
461,24 km al SUROESTE de SALINA CRUZ,16.02,-95.34,5.4,0.959872685,33,8,1984,OAX,revisado,23,2
462,122 km al SURESTE de SAN MARCOS,15.75,-99.03,5.1,0.762685185,15,8,1984,GRO,revisado,18,18
463,5 km al NORESTE de TONALA,16.1,-93.71,5.3,0.57369213,60,8,1984,CHIS,revisado,13,46
464,89 km al SUROESTE de PUERTO PEÃ‘ASCO,30.61,-113.97,5.2,0.607233796,9,9,1984,SON,revisado,14,34
465,694 km al SUROESTE de CABO SAN LUCAS,20.11,-115.93,5.2,0.255335648,9,9,1984,BCS,revisado,6,7
466,702 km al SUROESTE de CABO SAN LUCAS,20.1,-116.01,5.5,0.158842593,9,10,1984,BCS,revisado,3,48
467,93 km al SUROESTE de GUASAVE,24.89,-109.01,5.2,0.710046296,9,10,1984,SIN,revisado,17,2
468,93 km al SUROESTE de HUATABAMPO,26.22,-110.29,5.1,0.094270833,9,10,1984,SON,revisado,2,15
469,96 km al SUROESTE de HUATABAMPO,26.18,-110.28,5.2,0.095972222,9,10,1984,SON,revisado,2,18
470,423 km al SURESTE de CD HIDALGO,13.06,-88.6,5,0.918206019,56,10,1984,CHIS,revisado,22,2
471,684 km al SUROESTE de CABO SAN LUCAS,20.24,-115.89,5.2,0.800381944,9,11,1984,BCS,revisado,19,12
